sku,p_sku,p_name
22624,Config114,Malibu MSP2
22739,Config27,Baja 302
22740,Config27,Baja 302
22741,Config27,Baja 302
22748,Config28,Baja Islander 2007
22749,Config28,Baja Islander 2007
22750,Config28,Baja Islander 2007
22755,Config2,Baja Islander 240
22756,Config2,Baja Islander 240
22758,Config3,Bayliner 205 BR
22759,Config3,Bayliner 205 BR
22761,Config29,Bayliner 23 Classic
22762,Config29,Bayliner 23 Classic
22764,Config30,Bayliner 246
22765,Config30,Bayliner 246
22767,Config31,Bayliner Avanti 3255
22768,Config31,Bayliner Avanti 3255
22772,Config32,Bluewater Escape
22773,Config32,Bluewater Escape
22774,Config32,Bluewater Escape
22775,Config4,Calabria
22776,Config4,Calabria
22778,Config33,Calabria V2
22779,Config33,Calabria V2
22780,Config33,Calabria V2
22781,Config34,Caravelle
22782,Config34,Caravelle
22783,Config34,Caravelle
22785,Config35,Celebrity 240
22786,Config35,Celebrity 240
22787,Config35,Celebrity 240
22789,Config36,Centurion SP
22790,Config36,Centurion SP
22791,Config36,Centurion SP
22792,Config37,Centurion SV 230
22793,Config37,Centurion SV 230
22794,Config37,Centurion SV 230
22795,Config38,Centurion Trojan 400 Express
22796,Config38,Centurion Trojan 400 Express
22797,Config38,Centurion Trojan 400 Express
22798,Config39,Centurion Wave
22799,Config39,Centurion Wave
22800,Config39,Centurion Wave
22801,Config87,Falcon V
22802,Config87,Falcon V
22803,Config87,Falcon V
22804,Config86,Elite V - 1998
22805,Config86,Elite V - 1998
22806,Config86,Elite V - 1998
22807,Config214,Tsunami
22808,Config214,Tsunami
22809,Config214,Tsunami
22810,Config40,Chaparral 180 SSI SPP 2005
22811,Config40,Chaparral 180 SSI SPP 2005
22812,Config40,Chaparral 180 SSI SPP 2005
22822,Config43,Chaparral 210 SSI
22823,Config43,Chaparral 210 SSI
22824,Config43,Chaparral 210 SSI
22825,Config44,Chaparral 220 SSI
22826,Config44,Chaparral 220 SSI
22827,Config44,Chaparral 220 SSI
22828,Config5,Chaparral 186 SSI & 190SSI
22832,Config5,Chaparral 186 SSI & 190SSI
22837,Config41,Chaparral 196 SSI & 200 SSI
22838,Config41,Chaparral 196 SSI & 200 SSI
22839,Config41,Chaparral 196 SSI & 200 SSI
22840,Config42,Chaparral 200 SSI & 204 SSI
22841,Config42,Chaparral 200 SSI & 204 SSI
22842,Config42,Chaparral 200 SSI & 204 SSI
22846,Config21,"""Chaparral 204SSI, 200 SSI & 204 SSI"""
22847,Config21,"""Chaparral 204SSI, 200 SSI & 204 SSI"""
22848,Config21,"""Chaparral 204SSI, 200 SSI & 204 SSI"""
22849,Config22,"""Chaparral 220 SSI, 230 SSI, 235 SSI & 246 SSI"""
22850,Config22,"""Chaparral 220 SSI, 230 SSI, 235 SSI & 246 SSI"""
22851,Config22,"""Chaparral 220 SSI, 230 SSI, 235 SSI & 246 SSI"""
22861,Config45,Chaparral 230 SSI
22862,Config45,Chaparral 230 SSI
22863,Config45,Chaparral 230 SSI
22864,Config46,Chaparral 232 & 234 Sunesta
22865,Config46,Chaparral 232 & 234 Sunesta
22866,Config46,Chaparral 232 & 234 Sunesta
22870,Config47,Chaparral 236 SSI
22871,Config47,Chaparral 236 SSI
22872,Config47,Chaparral 236 SSI
22873,Config48,Chaparral 236 SSX
22874,Config48,Chaparral 236 SSX
22875,Config48,Chaparral 236 SSX
22876,Config49,Chaparral 240 Signature
22877,Config49,Chaparral 240 Signature
22878,Config49,Chaparral 240 Signature
22879,Config50,Chaparral 244
22880,Config50,Chaparral 244
22881,Config50,Chaparral 244
22885,Config51,Chaparral 246
22886,Config51,Chaparral 246
22887,Config51,Chaparral 246
22888,Config52,Chaparral 256 SSI
22889,Config52,Chaparral 256 SSI
22890,Config52,Chaparral 256 SSI
22891,Config53,Chaparral 270 & 276 Signature
22892,Config53,Chaparral 270 & 276 Signature
22893,Config53,Chaparral 270 & 276 Signature
22897,Config54,Chaparral 274 Sunesta
22898,Config54,Chaparral 274 Sunesta
22899,Config54,Chaparral 274 Sunesta
22900,Config55,Chaparral 28 SS
22901,Config55,Chaparral 28 SS
22902,Config55,Chaparral 28 SS
22903,Config56,Chaparral 280 SSI
22904,Config56,Chaparral 280 SSI
22905,Config56,Chaparral 280 SSI
22906,Config57,Chaparral 300 Signature
22907,Config57,Chaparral 300 Signature
22908,Config57,Chaparral 300 Signature
22909,Config58,Chaparral 310 Signature
22910,Config58,Chaparral 310 Signature
22911,Config58,Chaparral 310 Signature
22912,Config59,Chris Craft Crowne 32
22913,Config59,Chris Craft Crowne 32
22914,Config59,Chris Craft Crowne 32
22915,Config60,Chris Craft Crowne 33
22916,Config60,Chris Craft Crowne 33
22917,Config60,Chris Craft Crowne 33
22918,Config61,Chris Craft Scorpion 210
22919,Config61,Chris Craft Scorpion 210
22920,Config61,Chris Craft Scorpion 210
22921,Config62,Cobalt 200
22922,Config62,Cobalt 200
22923,Config62,Cobalt 200
22924,Config23,"""Cobalt 200/220 - 2004, 2005"""
22925,Config23,"""Cobalt 200/220 - 2004, 2005"""
22926,Config23,"""Cobalt 200/220 - 2004, 2005"""
22930,Config63,Cobalt 220
22931,Config63,Cobalt 220
22932,Config63,Cobalt 220
22933,Config64,Cobalt 220 - 1996
22934,Config64,Cobalt 220 - 1996
22935,Config64,Cobalt 220 - 1996
22936,Config65,Cobalt 232
22937,Config65,Cobalt 232
22938,Config65,Cobalt 232
22939,Config66,Cobalt 232 - 2008
22941,Config66,Cobalt 232 - 2008
22942,Config66,Cobalt 232 - 2008
22943,Config67,Cobalt 233
22944,Config67,Cobalt 233
22945,Config67,Cobalt 233
22946,Config68,Cobalt 240
22947,Config68,Cobalt 240
22948,Config68,Cobalt 240
22949,Config69,Cobalt 246
22950,Config69,Cobalt 246
22951,Config69,Cobalt 246
22952,Config70,Cobalt 25 LS
22953,Config70,Cobalt 25 LS
22954,Config70,Cobalt 25 LS
22955,Config71,Cobalt 25 LS ESP
22956,Config71,Cobalt 25 LS ESP
22957,Config71,Cobalt 25 LS ESP
22958,Config72,Cobalt 250 BR
22959,Config72,Cobalt 250 BR
22960,Config72,Cobalt 250 BR
22961,Config73,Cobalt 252
22962,Config73,Cobalt 252
22963,Config73,Cobalt 252
22964,Config74,Cobalt 262
22965,Config74,Cobalt 262
22966,Config74,Cobalt 262
22967,Config75,Cobalt 292
22968,Config75,Cobalt 292
22969,Config75,Cobalt 292
22970,Config76,Cobalt 293
22971,Config76,Cobalt 293
22972,Config76,Cobalt 293
22973,Config77,Crownline 216 Razor
22974,Config77,Crownline 216 Razor
22975,Config77,Crownline 216 Razor
22976,Config78,Crownline 23 SS LPX
22977,Config78,Crownline 23 SS LPX
22978,Config78,Crownline 23 SS LPX
22979,Config79,Crownline 230 EX
22980,Config79,Crownline 230 EX
22981,Config79,Crownline 230 EX
22982,Config80,Crownline 230 LS
22983,Config80,Crownline 230 LS
22984,Config80,Crownline 230 LS
22985,Config81,Crownline 235 CCR
22986,Config81,Crownline 235 CCR
22987,Config81,Crownline 235 CCR
22988,Config24,"""Crownline Add-on Platform 225LPX, 260 EX, 220EX, 240LS"""
22989,Config24,"""Crownline Add-on Platform 225LPX, 260 EX, 220EX, 240LS"""
22990,Config24,"""Crownline Add-on Platform 225LPX, 260 EX, 220EX, 240LS"""
23000,Config25,"""Crownline Integrated Platform 225, 260 EX, 220EX, 240LS"""
23001,Config25,"""Crownline Integrated Platform 225, 260 EX, 220EX, 240LS"""
23002,Config25,"""Crownline Integrated Platform 225, 260 EX, 220EX, 240LS"""
23010,Config82,Cruisers Yachts Aria 3120
23011,Config82,Cruisers Yachts Aria 3120
23012,Config82,Cruisers Yachts Aria 3120
23013,Config83,Donzi 35 ZR
23014,Config83,Donzi 35 ZR
23015,Config83,Donzi 35 ZR
23016,Config84,Donzi ZX 33
23017,Config84,Donzi ZX 33
23018,Config84,Donzi ZX 33
23020,Config85,Ebbtide Campione 210
23021,Config85,Ebbtide Campione 210
23022,Config85,Ebbtide Campione 210
23023,Config88,Four Winns 268 Vista Cruiser
23024,Config88,Four Winns 268 Vista Cruiser
23025,Config88,Four Winns 268 Vista Cruiser
23026,Config89,Four Winns 274
23027,Config89,Four Winns 274
23028,Config89,Four Winns 274
23029,Config90,Four Winns 298 Vista
23030,Config90,Four Winns 298 Vista
23031,Config90,Four Winns 298 Vista
23032,Config91,Four Winns 298 Vista - Swim Platform & Cockpit
23033,Config91,Four Winns 298 Vista - Swim Platform & Cockpit
23034,Config91,Four Winns 298 Vista - Swim Platform & Cockpit
23035,Config92,Four Winns 328 Vista
23036,Config92,Four Winns 328 Vista
23037,Config92,Four Winns 328 Vista
23038,Config93,Four Winns H200
23039,Config93,Four Winns H200
23040,Config93,Four Winns H200
23041,Config94,Four Winns H220
23042,Config94,Four Winns H220
23043,Config94,Four Winns H220
23044,Config95,Four Winns H260
23045,Config95,Four Winns H260
23046,Config95,Four Winns H260
23047,Config96,Four Winns Horizon 200
23048,Config96,Four Winns Horizon 200
23049,Config96,Four Winns Horizon 200
23050,Config97,Four Winns Horizon 200 - 2005
23051,Config97,Four Winns Horizon 200 - 2005
23052,Config97,Four Winns Horizon 200 - 2005
23053,Config98,Four Winns Horizon 200 SS
23054,Config98,Four Winns Horizon 200 SS
23055,Config98,Four Winns Horizon 200 SS
23056,Config99,Gekko 3 Piece
23057,Config99,Gekko 3 Piece
23058,Config99,Gekko 3 Piece
23059,Config100,Gekko Bazooka
23060,Config100,Gekko Bazooka
23061,Config100,Gekko Bazooka
23062,Config101,Hunter
23063,Config101,Hunter
23064,Config101,Hunter
23066,Config102,Larson 228 LXI
23067,Config102,Larson 228 LXI
23068,Config102,Larson 228 LXI
23069,Config103,Larson Cabrio - 1991
23070,Config103,Larson Cabrio - 1991
23071,Config103,Larson Cabrio - 1991
23072,Config104,Larson Cabrio 290 2005
23073,Config104,Larson Cabrio 290 2005
23074,Config104,Larson Cabrio 290 2005
23075,Config105,Larson Cabrio 350
23076,Config105,Larson Cabrio 350
23077,Config105,Larson Cabrio 350
23078,Config110,Malibu Axis
23079,Config110,Malibu Axis
23080,Config110,Malibu Axis
23081,Config111,Malibu Corvette
23082,Config111,Malibu Corvette
23083,Config111,Malibu Corvette
23084,Config112,Malibu MSP1
23085,Config112,Malibu MSP1
23086,Config112,Malibu MSP1
23087,Config108,Malibu 23 LSV
23088,Config108,Malibu 23 LSV
23089,Config108,Malibu 23 LSV
23090,Config113,Malibu MSP1 With Hatch Cut Out
23091,Config113,Malibu MSP1 With Hatch Cut Out
23092,Config113,Malibu MSP1 With Hatch Cut Out
23097,Config114,Malibu MSP2
23098,Config114,Malibu MSP2
23099,Config115,Malibu MSP2 With Hatch Cut Out
23100,Config115,Malibu MSP2 With Hatch Cut Out
23101,Config115,Malibu MSP2 With Hatch Cut Out
23102,Config116,Malibu MSP4
23103,Config116,Malibu MSP4
23104,Config116,Malibu MSP4
23105,Config117,Malibu MSP4 With Hatch Cut Out
23106,Config117,Malibu MSP4 With Hatch Cut Out
23107,Config117,Malibu MSP4 With Hatch Cut Out
23108,Config118,Malibu MSP5
23109,Config118,Malibu MSP5
23110,Config118,Malibu MSP5
23111,Config119,Malibu MSP5 With Hatch Cut Out
23112,Config119,Malibu MSP5 With Hatch Cut Out
23113,Config119,Malibu MSP5 With Hatch Cut Out
23117,Config120,Malibu Response LXI - 2004
23118,Config120,Malibu Response LXI - 2004
23119,Config120,Malibu Response LXI - 2004
23123,Config107,Malibu 22 MXZ - 2014
23124,Config107,Malibu 22 MXZ - 2014
